GID_0,NAME,TIAM-Region,TIAM-long,TIAM-all
ISR,Israel,MEA,Middle East Asia,Middle East Asia (MEA)
ITA,Italy,WEU,West European Union,West European Union (WEU)
JAM,Jamaica,CSA,Central & South America,Central & South America (CSA)
JEY,Jersey,WEU,West European Union,West European Union (WEU)
JOR,Jordan,MEA,Middle East Asia,Middle East Asia (MEA)
JPN,Japan,JPN,Japan,Japan (JPN)
KAZ,Kazakhstan,FSU,Former Soviet Union,Former Soviet Union (FSU)
KEN,Kenya,AFR,Afrika,Afrika (AFR)
KGZ,Kyrgyzstan,FSU,Former Soviet Union,Former Soviet Union (FSU)
KHM,Cambodia,ODA,Other Developing Asia,Other Developing Asia (ODA)
KIR,Kiribati,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
KNA,Saint Kitts and Nevis,CSA,Central & South America,Central & South America (CSA)
KOR,South Korea,SKO,South Korea,South Korea (SKO)
KWT,Kuwait,MEA,Middle East Asia,Middle East Asia (MEA)
LAO,Lao PDR,ODA,Other Developing Asia,Other Developing Asia (ODA)
LBN,Lebanon,MEA,Middle East Asia,Middle East Asia (MEA)
LBR,Liberia,AFR,Afrika,Afrika (AFR)
LBY,Libya,AFR,Afrika,Afrika (AFR)
LCA,Saint Lucia,CSA,Central & South America,Central & South America (CSA)
LIE,Liechtenstein,WEU,West European Union,West European Union (WEU)
LKA,Sri Lanka,ODA,Other Developing Asia,Other Developing Asia (ODA)
LSO,Lesotho,AFR,Afrika,Afrika (AFR)
LTU,Lithuania,FSU,Former Soviet Union,Former Soviet Union (FSU)
LUX,Luxembourg,WEU,West European Union,West European Union (WEU)
LVA,Latvia,FSU,Former Soviet Union,Former Soviet Union (FSU)
MAC,Macao,CHI,China,China (CHI)
MAF,Saint Martin,CSA,Central & South America,Central & South America (CSA)
MAR,Morocco,AFR,Afrika,Afrika (AFR)
MCO,Monaco,WEU,West European Union,West European Union (WEU)
MDA,Moldova,FSU,Former Soviet Union,Former Soviet Union (FSU)
MDG,Madagascar,AFR,Afrika,Afrika (AFR)
MDV,Maldives,ODA,Other Developing Asia,Other Developing Asia (ODA)
MEX,Mexico,MEX,Mexico,Mexico (MEX)
MHL,Marshall Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
MKD,North Macedonia,EEU,East European Union,East European Union (EEU)
MLI,Mali,AFR,Afrika,Afrika (AFR)
MLT,Malta,WEU,West European Union,West European Union (WEU)
MMR,Myanmar,ODA,Other Developing Asia,Other Developing Asia (ODA)
MNE,Montenegro,EEU,East European Union,East European Union (EEU)
MNG,Mongolia,ODA,Other Developing Asia,Other Developing Asia (ODA)
MNP,Northern Mariana Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
MOZ,Mozambique,AFR,Afrika,Afrika (AFR)
MRT,Mauritania,AFR,Afrika,Afrika (AFR)
MSR,Montserrat,CSA,Central & South America,Central & South America (CSA)
MTQ,Martinique,CSA,Central & South America,Central & South America (CSA)
MUS,Mauritius,AFR,Afrika,Afrika (AFR)
MWI,Malawi,AFR,Afrika,Afrika (AFR)
MYS,Malaysia,ODA,Other Developing Asia,Other Developing Asia (ODA)
MYT,Mayotte,AFR,Afrika,Afrika (AFR)
NAM,Namibia,AFR,Afrika,Afrika (AFR)
NCL,New Caledonia,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
NER,Niger,AFR,Afrika,Afrika (AFR)
NFK,Norfolk Island,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
NGA,Nigeria,AFR,Afrika,Afrika (AFR)
NIC,Nicaragua,CSA,Central & South America,Central & South America (CSA)
NIU,Niue,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
NLD,Netherlands,WEU,West European Union,West European Union (WEU)
NOR,Norway,WEU,West European Union,West European Union (WEU)
NPL,Nepal,ODA,Other Developing Asia,Other Developing Asia (ODA)
NRU,Nauru,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
NZL,New Zealand,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
OMN,Oman,MEA,Middle East Asia,Middle East Asia (MEA)
PAK,Pakistan,ODA,Other Developing Asia,Other Developing Asia (ODA)
PAN,Panama,CSA,Central & South America,Central & South America (CSA)
PCN,Pitcairn Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
PER,Peru,CSA,Central & South America,Central & South America (CSA)
PHL,Philippines,ODA,Other Developing Asia,Other Developing Asia (ODA)
PLW,Palau,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
PNG,Papua New Guinea,ODA,Other Developing Asia,Other Developing Asia (ODA)
POL,Poland,EEU,East European Union,East European Union (EEU)
PRI,Puerto Rico,CSA,Central & South America,Central & South America (CSA)
PRK,North Korea,ODA,Other Developing Asia,Other Developing Asia (ODA)
PRT,Portugal,WEU,West European Union,West European Union (WEU)
PRY,Paraguay,CSA,Central & South America,Central & South America (CSA)
PSE,Palestina,MEA,Middle East Asia,Middle East Asia (MEA)
PYF,French Polynesia,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
QAT,Qatar,MEA,Middle East Asia,Middle East Asia (MEA)
REU,Reunion,AFR,Afrika,Afrika (AFR)
ROU,Romania,FSU,Former Soviet Union,Former Soviet Union (FSU)
RUS,Russia,FSU,Former Soviet Union,Former Soviet Union (FSU)
RWA,Rwanda,AFR,Afrika,Afrika (AFR)
SAU,Saudi Arabia,MEA,Middle East Asia,Middle East Asia (MEA)
SDN,Sudan,AFR,Afrika,Afrika (AFR)
SEN,Senegal,AFR,Afrika,Afrika (AFR)
SGP,Singapore,ODA,Other Developing Asia,Other Developing Asia (ODA)
SGS,South Georgia and the South Sandwich Islands,CSA,Central & South America,Central & South America (CSA)
SHN,Saint Helena,AFR,Afrika,Afrika (AFR)
SJM,Svalbard and Jan Mayen,WEU,West European Union,West European Union (WEU)
SLB,Solomon Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
SLE,Sierra Leone,AFR,Afrika,Afrika (AFR)
SLV,El Salvador,CSA,Central & South America,Central & South America (CSA)
SMR,San Marino,WEU,West European Union,West European Union (WEU)
SOM,Somalia,AFR,Afrika,Afrika (AFR)
SPM,Saint Pierre and Miquelon,WEU,West European Union,West European Union (WEU)
SRB,Serbia,EEU,East European Union,East European Union (EEU)
SSD,South Sudan,AFR,Afrika,Afrika (AFR)
STP,Sao Tome and Principe,AFR,Afrika,Afrika (AFR)
SUR,Suriname,CSA,Central & South America,Central & South America (CSA)
SVK,Slovakia,EEU,East European Union,East European Union (EEU)
SVN,Slovenia,EEU,East European Union,East European Union (EEU)
SWE,Sweden,WEU,West European Union,West European Union (WEU)
SWZ,Swaziland,AFR,Afrika,Afrika (AFR)
SXM,Sint Maarten,CSA,Central & South America,Central & South America (CSA)
SYC,Seychelles,AFR,Afrika,Afrika (AFR)
SYR,Syria,MEA,Middle East Asia,Middle East Asia (MEA)
TCA,Turks and Caicos Islands,CSA,Central & South America,Central & South America (CSA)
TCD,Chad,AFR,Afrika,Afrika (AFR)
TGO,Togo,AFR,Afrika,Afrika (AFR)
THA,Thailand,ODA,Other Developing Asia,Other Developing Asia (ODA)
TJK,Tajikistan,FSU,Former Soviet Union,Former Soviet Union (FSU)
TKL,Tokelau,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
TKM,Turkmenistan,FSU,Former Soviet Union,Former Soviet Union (FSU)
TLS,Timor-Leste,ODA,Other Developing Asia,Other Developing Asia (ODA)
TON,Tonga,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
TTO,Trinidad and Tobago,CSA,Central & South America,Central & South America (CSA)
TUN,Tunisia,AFR,Afrika,Afrika (AFR)
TUR,Turkey,MEA,Middle East Asia,Middle East Asia (MEA)
TUV,Tuvalu,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
TWN,Taiwan,ODA,Other Developing Asia,Other Developing Asia (ODA)
TZA,Tanzania,AFR,Afrika,Afrika (AFR)
UGA,Uganda,AFR,Afrika,Afrika (AFR)
UKR,Ukraine,FSU,Former Soviet Union,Former Soviet Union (FSU)
UMI,United States Minor Outlying Islands,USA,United States of America,United States of America (USA)
URY,Uruguay,CSA,Central & South America,Central & South America (CSA)
USA,United States of America,USA,United States of America,United States of America (USA)
UZB,Uzbekistan,FSU,Former Soviet Union,Former Soviet Union (FSU)
VAT,Vatican City,WEU,West European Union,West European Union (WEU)
VCT,Saint Vincent and the Grenadines,CSA,Central & South America,Central & South America (CSA)
VEN,Venezuela,CSA,Central & South America,Central & South America (CSA)
VGB,British Virgin Islands,CSA,Central & South America,Central & South America (CSA)
VIR,United States Virgin Islands,USA,United States of America,United States of America (USA)
VNM,Vietnam,ODA,Other Developing Asia,Other Developing Asia (ODA)
VUT,Vanuatu,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
WLF,Wallis and Futuna,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
WSM,Samoa,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
XAD,Akrotiri and Dhekelia,MEA,Middle East Asia,Middle East Asia (MEA)
XCL,Clipperton Island,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
XKO,Kosovo (under UNSC res. 1244),EEU,East European Union,East European Union (EEU)
XNC,Northern Cyprus,MEA,Middle East Asia,Middle East Asia (MEA)
XPI,Paracel Islands,ODA,Other Developing Asia,Other Developing Asia (ODA)
XSP,Spratly Islands,ODA,Other Developing Asia,Other Developing Asia (ODA)
YEM,Yemen,MEA,Middle East Asia,Middle East Asia (MEA)
ZAF,South Africa,AFR,Afrika,Afrika (AFR)
ZMB,Zambia,AFR,Afrika,Afrika (AFR)
ZWE,Zimbabwe,AFR,Afrika,Afrika (AFR)
